2017-01-05 02:19:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:20:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:20:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:20:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:21:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:21:07 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:48:18 => UserID : 34338 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:48:18 => UserID : 34338 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:48:19 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:49:39 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:49:39 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:50:22 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:50:22 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:50:22 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
